Country Name,Year,Life Expectancy
Austria,1984,73.6121951219512
Belgium,1984,74.4048780487805
Bulgaria,1984,71.499756097561
Bosnia and Herzegovina,1984,71.036
Belarus,1984,69.5631951219512
Switzerland,1984,76.6085365853659
Czechia,1984,70.8375609756098
Germany,1984,74.0722926829268
Denmark,1984,74.5621951219512
Spain,1984,76.2953658536586
Estonia,1984,69.2780487804878
Finland,1984,74.5190243902439
France,1984,75.0
United Kingdom,1984,74.7780487804878
Greece,1984,75.7743902439024
Croatia,1984,70.2185365853659
Hungary,1984,69.0258536585366
Ireland,1984,73.6637317073171
Iceland,1984,77.5765853658537
Israel,1984,74.8073170731707
Italy,1984,75.389512195122
Lithuania,1984,70.32
Luxembourg,1984,73.0532195121951
Latvia,1984,69.1629268292683
Moldova,1984,65.68
North Macedonia,1984,70.021756097561
Montenegro,1984,72.7682682926829
Netherlands,1984,76.2331707317073
Norway,1984,76.2243902439024
Poland,1984,70.8
Portugal,1984,72.5146341463415
Romania,1984,69.6587804878049
Slovenia,1984,70.9024390243903
Sweden,1984,76.8158536585366
Ukraine,1984,68.5058048780488
Albania,1985,71.656
Andorra,1985,
Austria,1985,73.8146341463415
Belgium,1985,74.520243902439
Bulgaria,1985,71.2280487804878
Bosnia and Herzegovina,1985,70.799
Belarus,1985,70.9926829268293
Switzerland,1985,76.7336585365854
Czechia,1985,71.0463414634146
Germany,1985,74.1890975609756
Denmark,1985,74.4275609756098
Spain,1985,76.259512195122
Estonia,1985,69.3804878048781
Finland,1985,74.2229268292683
France,1985,75.3
United Kingdom,1985,74.6292682926829
Greece,1985,76.0829024390244
Croatia,1985,70.8860975609756
